effect_type,feature,qp,resampling,n_images,n_clusters,family_size,alpha,bootstrap_resamples,rho_clean,rho_noisy_mean3,b_homogeneity,b_other,estimate,bound_low,bound_high,simultaneous_low,simultaneous_high,critical_value,evaluable,invalid_resamples,excludes_zero
B,glcm_homogeneity,32,image,48,48,44,0.05,99999,-0.7526052974381242,0.01641008977567428,-0.7690153872137985,-0.7690153872137985,-0.7690153872137985,-2.0,2.0,-1.272904234177318,-0.2651265402502788,0.5038888469635197,True,0,True
B,glcm_homogeneity,37,image,48,48,44,0.05,99999,-0.7990664350846723,-0.16650548982086838,-0.6325609452638039,-0.6325609452638039,-0.6325609452638039,-2.0,2.0,-1.1364497922273236,-0.12867209830028425,0.5038888469635197,True,0,True
C,sobel_si,22,image,48,48,44,0.05,99999,0.6581632653061226,0.7815892314372558,-0.8859820523954264,0.12342596613113321,-1.0094080185265595,-4.0,4.0,-1.5132968654900791,-0.5055191715630398,0.5038888469635197,True,0,True
C,sobel_si,27,image,48,48,44,0.05,99999,0.6781372123317413,0.8494611527974416,-0.680036529804479,0.17132394046570032,-0.8513604702701794,-4.0,4.0,-1.355249317233699,-0.3474716233066597,0.5038888469635197,True,0,True
C,sobel_si,32,image,48,48,44,0.05,99999,0.7594442032132003,0.8850492266605822,-0.7690153872137985,0.1256050234473819,-0.8946204106611804,-4.0,4.0,-1.3985092576247,-0.3907315636976607,0.5038888469635197,True,0,True
C,sobel_si,37,image,48,48,44,0.05,99999,0.8447676943117673,0.8780836936320174,-0.6325609452638039,0.03331599932025009,-0.665876944584054,-4.0,4.0,-1.1697657915475737,-0.16198809762053434,0.5038888469635197,True,0,True
C,luma_sd,22,image,48,48,44,0.05,99999,0.04320451584889279,0.24120712114633092,-0.8859820523954264,0.19800260529743813,-1.0839846576928645,-4.0,4.0,-1.587873504656384,-0.5800958107293448,0.5038888469635197,True,0,True
C,luma_sd,27,image,48,48,44,0.05,99999,0.08608336951802,0.22235700195129351,-0.680036529804479,0.1362736324332735,-0.8163101622377525,-4.0,4.0,-1.3201990092012723,-0.3124213152742329,0.5038888469635197,True,0,True
C,luma_sd,32,image,48,48,44,0.05,99999,0.10811984368215374,0.2263914967988776,-0.7690153872137985,0.11827165311672386,-0.8872870403305223,-4.0,4.0,-1.3911758872940418,-0.38339819336700265,0.5038888469635197,True,0,True
C,luma_sd,37,image,48,48,44,0.05,99999,0.18237082066869303,0.32179338797981666,-0.6325609452638039,0.13942256731112362,-0.7719835125749275,-4.0,4.0,-1.2758723595384471,-0.2680946656114078,0.5038888469635197,True,0,True
C,edge_fraction,22,image,48,48,44,0.05,99999,0.6140903169778551,-0.008774950019781902,-0.8859820523954264,-0.622865266997637,-0.2631167853977894,-4.0,4.0,-0.767005632361309,0.24077206156573028,0.5038888469635197,True,0,False
C,edge_fraction,27,image,48,48,44,0.05,99999,0.6659791576204952,0.25753144096319597,-0.680036529804479,-0.40844771665729923,-0.2715888131471798,-4.0,4.0,-0.7754776601106994,0.23230003381633985,0.5038888469635197,True,0,False
C,edge_fraction,32,image,48,48,44,0.05,99999,0.7026704298740774,0.1961333204519542,-0.7690153872137985,-0.5065371094221232,-0.2624782777916753,-4.0,4.0,-0.766367124755195,0.24141056917184434,0.5038888469635197,True,0,False
C,edge_fraction,37,image,48,48,44,0.05,99999,0.7354537559704735,0.37699719947328214,-0.6325609452638039,-0.3584565564971913,-0.2741043887666126,-4.0,4.0,-0.7779932357301322,0.22978445819690707,0.5038888469635197,True,0,False
C,glcm_contrast,22,image,48,48,44,0.05,99999,0.741858445505862,0.21826602981618182,-0.8859820523954264,-0.5235924156896802,-0.3623896367057462,-4.0,4.0,-0.8662784836692659,0.14149921025777346,0.5038888469635197,True,0,False
C,glcm_contrast,27,image,48,48,44,0.05,99999,0.7673686495874947,0.4809892745236126,-0.680036529804479,-0.2863793750638821,-0.3936571547405969,-4.0,4.0,-0.8975460017041166,0.11023169222292273,0.5038888469635197,True,0,False
C,glcm_contrast,32,image,48,48,44,0.05,99999,0.8226226660877118,0.44105895970050746,-0.7690153872137985,-0.3815637063872044,-0.3874516808265941,-4.0,4.0,-0.8913405277901137,0.11643716613692556,0.5038888469635197,True,0,False
C,glcm_contrast,37,image,48,48,44,0.05,99999,0.8764654798089451,0.5769159158406804,-0.6325609452638039,-0.2995495639682647,-0.3330113812955392,-4.0,4.0,-0.8369002282590589,0.17087746566798045,0.5038888469635197,True,0,False
C,glcm_entropy,22,image,48,48,44,0.05,99999,0.5325662179765523,-0.07164567954841512,-0.8859820523954264,-0.6042118975249675,-0.28177015487045887,-4.0,4.0,-0.7856590018339785,0.2221186920930608,0.5038888469635197,True,0,False
C,glcm_entropy,27,image,48,48,44,0.05,99999,0.5856491532783327,0.10745152538951813,-0.680036529804479,-0.47819762788881454,-0.2018389019156645,-4.0,4.0,-0.7057277488791842,0.30204994504785515,0.5038888469635197,True,0,False
C,glcm_entropy,32,image,48,48,44,0.05,99999,0.6264654798089448,0.06419212413772869,-0.7690153872137985,-0.5622733556712162,-0.2067420315425823,-4.0,4.0,-0.710630878506102,0.29714681542093735,0.5038888469635197,True,0,False
C,glcm_entropy,37,image,48,48,44,0.05,99999,0.6910551454624404,0.2523182337959697,-0.6325609452638039,-0.4387369116664707,-0.1938240335973332,-4.0,4.0,-0.6977128805608528,0.31006481336618646,0.5038888469635197,True,0,False
B,sobel_si,22,scene_cluster,48,47,44,0.05,99999,0.6581632653061226,0.7815892314372558,-0.8859820523954264,0.12342596613113321,0.12342596613113321,-2.0,2.0,-0.37920733959542485,0.6260592718576913,0.5026333057265581,True,0,False
B,sobel_si,27,scene_cluster,48,47,44,0.05,99999,0.6781372123317413,0.8494611527974416,-0.680036529804479,0.17132394046570032,0.17132394046570032,-2.0,2.0,-0.33130936526085775,0.6739572461922584,0.5026333057265581,True,0,False
B,sobel_si,32,scene_cluster,48,47,44,0.05,99999,0.7594442032132003,0.8850492266605822,-0.7690153872137985,0.1256050234473819,0.1256050234473819,-2.0,2.0,-0.3770282822791762,0.62823832917394,0.5026333057265581,True,0,False
B,sobel_si,37,scene_cluster,48,47,44,0.05,99999,0.8447676943117673,0.8780836936320174,-0.6325609452638039,0.03331599932025009,0.03331599932025009,-2.0,2.0,-0.469317306406308,0.5359493050468082,0.5026333057265581,True,0,False
B,luma_sd,22,scene_cluster,48,47,44,0.05,99999,0.04320451584889279,0.24120712114633092,-0.8859820523954264,0.19800260529743813,0.19800260529743813,-2.0,2.0,-0.30463070042911994,0.7006359110239961,0.5026333057265581,True,0,False
B,luma_sd,27,scene_cluster,48,47,44,0.05,99999,0.08608336951802,0.22235700195129351,-0.680036529804479,0.1362736324332735,0.1362736324332735,-2.0,2.0,-0.36635967329328456,0.6389069381598316,0.5026333057265581,True,0,False
B,luma_sd,32,scene_cluster,48,47,44,0.05,99999,0.10811984368215374,0.2263914967988776,-0.7690153872137985,0.11827165311672386,0.11827165311672386,-2.0,2.0,-0.38436165260983424,0.6209049588432819,0.5026333057265581,True,0,False
B,luma_sd,37,scene_cluster,48,47,44,0.05,99999,0.18237082066869303,0.32179338797981666,-0.6325609452638039,0.13942256731112362,0.13942256731112362,-2.0,2.0,-0.36321073841543444,0.6420558730376817,0.5026333057265581,True,0,False
B,edge_fraction,22,scene_cluster,48,47,44,0.05,99999,0.6140903169778551,-0.008774950019781902,-0.8859820523954264,-0.622865266997637,-0.622865266997637,-2.0,2.0,-1.125498572724195,-0.12023196127107894,0.5026333057265581,True,0,True
B,edge_fraction,27,scene_cluster,48,47,44,0.05,99999,0.6659791576204952,0.25753144096319597,-0.680036529804479,-0.40844771665729923,-0.40844771665729923,-2.0,2.0,-0.9110810223838572,0.09418558906925883,0.5026333057265581,True,0,False
B,edge_fraction,32,scene_cluster,48,47,44,0.05,99999,0.7026704298740774,0.1961333204519542,-0.7690153872137985,-0.5065371094221232,-0.5065371094221232,-2.0,2.0,-1.0091704151486813,-0.003903803695565089,0.5026333057265581,True,0,True
B,edge_fraction,37,scene_cluster,48,47,44,0.05,99999,0.7354537559704735,0.37699719947328214,-0.6325609452638039,-0.3584565564971913,-0.3584565564971913,-2.0,2.0,-0.8610898622237494,0.14417674922936674,0.5026333057265581,True,0,False
B,glcm_contrast,22,scene_cluster,48,47,44,0.05,99999,0.741858445505862,0.21826602981618182,-0.8859820523954264,-0.5235924156896802,-0.5235924156896802,-2.0,2.0,-1.0262257214162382,-0.020959109963122113,0.5026333057265581,True,0,True
B,glcm_contrast,27,scene_cluster,48,47,44,0.05,99999,0.7673686495874947,0.4809892745236126,-0.680036529804479,-0.2863793750638821,-0.2863793750638821,-2.0,2.0,-0.7890126807904402,0.21625393066267595,0.5026333057265581,True,0,False
B,glcm_contrast,32,scene_cluster,48,47,44,0.05,99999,0.8226226660877118,0.44105895970050746,-0.7690153872137985,-0.3815637063872044,-0.3815637063872044,-2.0,2.0,-0.8841970121137624,0.12106959933935368,0.5026333057265581,True,0,False
B,glcm_contrast,37,scene_cluster,48,47,44,0.05,99999,0.8764654798089451,0.5769159158406804,-0.6325609452638039,-0.2995495639682647,-0.2995495639682647,-2.0,2.0,-0.8021828696948228,0.20308374175829336,0.5026333057265581,True,0,False
B,glcm_entropy,22,scene_cluster,48,47,44,0.05,99999,0.5325662179765523,-0.07164567954841512,-0.8859820523954264,-0.6042118975249675,-0.6042118975249675,-2.0,2.0,-1.1068452032515257,-0.10157859179840945,0.5026333057265581,True,0,True
B,glcm_entropy,27,scene_cluster,48,47,44,0.05,99999,0.5856491532783327,0.10745152538951813,-0.680036529804479,-0.47819762788881454,-0.47819762788881454,-2.0,2.0,-0.9808309336153727,0.02443567783774353,0.5026333057265581,True,0,False
B,glcm_entropy,32,scene_cluster,48,47,44,0.05,99999,0.6264654798089448,0.06419212413772869,-0.7690153872137985,-0.5622733556712162,-0.5622733556712162,-2.0,2.0,-1.0649066613977742,-0.0596400499446581,0.5026333057265581,True,0,True
