image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
lenna,512,512,32,baseline,7620,103.20629921259842,0.2325439453125,7.62,36.2875,999.99,999.99,0.973862,40.2766,90.296862,0.985341673469072,0.939140828812347,0.926482145261912,37.592704484824,36.110489910081,0.985162958485287
lenna,512,512,32,csf,7533,104.39824771007567,0.229888916015625,7.533,36.1498,999.99,999.99,0.973382,40.1507,90.018532,0.985150655137059,0.937096997379321,0.923904417147803,37.573411750185,35.9858541976903,0.985051049587778
lenna,512,512,37,baseline,4235,185.6982290436836,0.129241943359375,4.235,33.9527,999.99,999.99,0.964319,38.0066,82.198816,0.97552066238149,0.905286590191343,0.866574489270328,33.5051722881893,33.8561134820428,0.975489048524879
lenna,512,512,37,csf,4203,187.11206281227695,0.128265380859375,4.203,33.8687,999.99,999.99,0.963885,37.9311,82.824121,0.975495396201678,0.902803754192626,0.865787130140751,33.4534470463454,33.7635697064827,0.97541500933618
lenna,512,512,22,baseline,30695,25.62085030135201,0.936737060546875,30.695,41.7902,999.99,999.99,0.989014,45.7698,96.226601,0.995869621044893,0.98295674683305,0.984954491728109,46.4876983752569,41.2181393638651,0.995901557632189
lenna,512,512,22,csf,28079,28.007835036860286,0.856903076171875,28.079,40.8487,999.99,999.99,0.98765,44.8315,95.869065,0.995297251160784,0.978957083599399,0.983121680108978,46.1424928701336,40.3800082487535,0.995443964164762
peppers,512,512,37,baseline,3816,206.08805031446542,0.116455078125,3.816,33.2393,999.99,89.3059,0.9529,37.2533,83.555101,0.972001950115008,0.888446627877211,0.856760548749663,33.0096224922704,33.1508238187194,0.972508284715651
peppers,512,512,37,csf,3778,208.16093170989942,0.11529541015625,3.778,33.1674,999.99,89.3059,0.952812,37.1949,83.150281,0.971813801414726,0.888304235195581,0.855494348730436,33.0213206746484,33.0784399445332,0.972362978833977
peppers,512,512,32,baseline,6623,118.74256379284313,0.202117919921875,6.623,34.8814,999.99,89.3059,0.960525,38.8043,90.774588,0.980427631872715,0.912923279152547,0.9121443166411,36.5000682230097,34.7415378363644,0.981040898156994
peppers,512,512,32,csf,6561,119.86465477823502,0.200225830078125,6.561,34.8126,999.99,89.3059,0.960506,38.7472,90.716458,0.980402182193066,0.912034956457324,0.913055094728539,36.4597780316539,34.6741626631346,0.981020232289913
peppers,512,512,27,baseline,15005,52.411329556814394,0.457916259765625,15.005,37.0292,999.99,89.3059,0.972188,40.8543,94.577868,0.988201275241321,0.944064889787074,0.955788288545638,40.5508343268738,36.8188348807788,0.988578931864482
peppers,512,512,27,csf,13466,58.401306995395814,0.41094970703125,13.466,36.5078,999.99,89.3059,0.969026,40.3798,94.417398,0.987464688940814,0.938261566145385,0.953436309625887,40.5025078397747,36.322018252649,0.987970616810365
peppers,512,512,22,baseline,38866,20.2344465599753,1.18609619140625,38.866,41.2843,999.99,89.3059,0.988495,45.0843,96.211909,0.995533494629908,0.981202334571251,0.984003329348169,46.0243902200556,40.7548860751675,0.995738046225711
peppers,512,512,22,csf,38366,20.498149403117342,1.17083740234375,38.366,40.1145,999.99,89.3059,0.985625,44.0132,95.98188,0.994759590504945,0.976059137533189,0.981673823020566,45.5380906375496,39.6961719762404,0.995026653556594
