distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference,pointwise_low,pointwise_high,pointwise_invalid_resamples,pointwise_evaluable,pointwise_degenerate,simultaneous_low,simultaneous_high
awgn,15,20260811,22,luma_sd,True,24,RQ2,217,73,0.35618859647169515,0.35618859647169515,-0.021853624621989295,0.7902157842157845,0,True,False,-0.34353714448109335,1.0559143374244837
awgn,15,20260811,22,edge_fraction,True,24,RQ2,218,74,-0.025486618980603337,-0.025486618980603337,-0.3456182389873198,0.27598253275109175,0,True,False,-0.7252123599333918,0.6742391219721852
awgn,15,20260811,22,glcm_contrast,True,24,RQ2,219,75,0.0423211255105308,0.0423211255105308,-0.24420168919161733,0.3774194372061677,0,True,False,-0.6574046154422577,0.7420468664633193
awgn,15,20260811,22,glcm_entropy,True,24,RQ2,220,76,-0.12901272153824106,-0.12901272153824106,-0.5834433429122695,0.30560420315236414,0,True,False,-0.8287384624910296,0.5707130194145474
awgn,15,20260811,22,glcm_homogeneity,True,24,RQ2,221,77,0.034200046327160116,-0.034200046327160116,-0.3973119321600104,0.31648793707385775,0,True,False,-0.7339257872799486,0.6655256946256284
awgn,15,20260811,27,sobel_si,True,24,RQ2,222,78,0.2095652173913044,0.2095652173913044,0.04822340632769809,0.4680485427422058,0,True,False,-0.4901605235614841,0.9092909583440929
awgn,15,20260811,27,luma_sd,True,24,RQ2,223,79,0.2826086956521739,0.2826086956521739,0.007898027759174153,0.6158596634027845,0,True,False,-0.4171170453006146,0.9823344366049624
awgn,15,20260811,27,edge_fraction,True,24,RQ2,224,80,-0.026956521739130546,-0.026956521739130546,-0.24014719638066262,0.15870232354230596,0,True,False,-0.726682262691919,0.672769219213658
awgn,15,20260811,27,glcm_contrast,True,24,RQ2,225,81,0.03913043478260869,0.03913043478260869,-0.14148471615720526,0.24758560140474095,0,True,False,-0.6605953061701798,0.7388561757353972
awgn,15,20260811,27,glcm_entropy,True,24,RQ2,226,82,-0.15565217391304353,-0.15565217391304353,-0.5039608065600601,0.1736819951962316,0,True,False,-0.855377914865832,0.544073567039745
awgn,15,20260811,27,glcm_homogeneity,True,24,RQ2,227,83,0.04000000000000015,-0.04000000000000015,-0.2996507903237075,0.205934982479164,0,True,False,-0.7397257409527886,0.6597257409527884
awgn,15,20260811,32,sobel_si,True,24,RQ2,228,84,0.12260869565217392,0.12260869565217392,0.006145741878841188,0.2919772029811486,0,True,False,-0.5771170453006146,0.8223344366049624
awgn,15,20260811,32,luma_sd,True,24,RQ2,229,85,0.08521739130434786,0.08521739130434786,-0.1050788091068301,0.3228621291448516,0,True,False,-0.6145083496484407,0.7849431322571363
awgn,15,20260811,32,edge_fraction,True,24,RQ2,230,86,-0.01826086956521744,-0.01826086956521744,-0.13853572994300745,0.07870572802798426,0,True,False,-0.7179866105180059,0.6814648713875711
awgn,15,20260811,32,glcm_contrast,True,24,RQ2,231,87,0.029565217391304355,0.029565217391304355,-0.10910930829145553,0.17524200998374767,0,True,False,-0.6701605235614841,0.7292909583440929
awgn,15,20260811,32,glcm_entropy,True,24,RQ2,232,88,-0.1686956521739129,-0.1686956521739129,-0.4613368283093054,0.10083296799649279,0,True,False,-0.8684213931267014,0.5310300887788756
awgn,15,20260811,32,glcm_homogeneity,True,24,RQ2,233,89,0.013913043478260723,-0.013913043478260723,-0.17855579868708982,0.11914148050810347,0,True,False,-0.7136387844310492,0.6858126974745278
awgn,15,20260811,37,sobel_si,True,24,RQ2,234,90,-0.0634782608695652,-0.0634782608695652,-0.23077091841900968,0.04108391608391604,0,True,False,-0.7632040018223537,0.6362474800832233
awgn,15,20260811,37,luma_sd,True,24,RQ2,235,91,-0.1356521739130435,-0.1356521739130435,-0.3528948125467187,0.036745406824146926,0,True,False,-0.835377914865832,0.564073567039745
awgn,15,20260811,37,edge_fraction,True,24,RQ2,236,92,0.0008695652173913437,0.0008695652173913437,-0.10157618213660247,0.09574000878348699,0,True,False,-0.6988561757353972,0.7005953061701798
awgn,15,20260811,37,glcm_contrast,True,24,RQ2,237,93,-0.006086956521739073,-0.006086956521739073,-0.12827225130890052,0.12161128327447399,0,True,False,-0.7058126974745276,0.6936387844310494
awgn,15,20260811,37,glcm_entropy,True,24,RQ2,238,94,-0.2382608695652173,-0.2382608695652173,-0.5305436818853049,-0.0061134036928248954,0,True,False,-0.9379866105180058,0.4614648713875712
awgn,15,20260811,37,glcm_homogeneity,True,24,RQ2,239,95,0.019130434782608674,-0.019130434782608674,-0.17165737801755768,0.13001745200698078,0,True,False,-0.7188561757353972,0.6805953061701798
awgn,30,20260811,22,sobel_si,True,24,RQ2,216,144,0.17494107246879276,0.17494107246879276,-0.14360773661169535,0.5666912374713367,0,True,False,-0.5247846684839957,0.8746668134215813
awgn,30,20260811,22,luma_sd,True,24,RQ2,217,145,0.5866734899394388,0.5866734899394388,0.09991069016255996,1.0775292572919988,0,True,False,-0.1130522510133497,1.2863992308922274
awgn,30,20260811,22,edge_fraction,True,24,RQ2,218,146,-0.5064607551604612,-0.5064607551604612,-0.964163577320439,-0.06662644867886798,0,True,False,-1.2061864961132498,0.19326498579232732
awgn,30,20260811,22,glcm_contrast,True,24,RQ2,219,147,-0.32601982688037295,-0.32601982688037295,-0.7512327038296042,0.11703246500640965,0,True,False,-1.0257455678331615,0.37370591407241555
awgn,30,20260811,22,glcm_entropy,True,24,RQ2,220,148,-0.5082256028663024,-0.5082256028663024,-1.0342123257475129,0.08231353651024527,0,True,False,-1.207951343819091,0.19150013808648614
awgn,30,20260811,22,glcm_homogeneity,True,24,RQ2,221,149,0.8330693846295096,-0.8330693846295096,-1.2286090390522157,-0.3636363636363636,0,True,False,-1.532795125582298,-0.13334364367672114
awgn,30,20260811,27,sobel_si,True,24,RQ2,222,150,0.12956521739130444,0.12956521739130444,-0.09965034965034969,0.4402669968136977,0,True,False,-0.5701605235614841,0.8292909583440929
awgn,30,20260811,27,luma_sd,True,24,RQ2,223,151,0.3878260869565217,0.3878260869565217,-0.03582507011060101,0.8334138522028435,0,True,False,-0.3118996539962668,1.0875518279093102
awgn,30,20260811,27,edge_fraction,True,24,RQ2,224,152,-0.35217391304347845,-0.35217391304347845,-0.745738238751757,-0.024560865117638293,0,True,False,-1.051899653996267,0.34755182790931005
awgn,30,20260811,27,glcm_contrast,True,24,RQ2,225,153,-0.2260869565217392,-0.2260869565217392,-0.5612959719789841,0.10074463425317565,0,True,False,-0.9258126974745278,0.4736387844310493
awgn,30,20260811,27,glcm_entropy,True,24,RQ2,226,154,-0.47826086956521746,-0.47826086956521746,-0.9427197201574115,0.002637420626866491,0,True,False,-1.177986610518006,0.22146487138757104
awgn,30,20260811,27,glcm_homogeneity,True,24,RQ2,227,155,0.6686956521739131,-0.6686956521739131,-1.0292960209881943,-0.30694886964749557,0,True,False,-1.3684213931267015,0.031030088778875364
awgn,30,20260811,32,sobel_si,True,24,RQ2,228,156,0.06695652173913047,0.06695652173913047,-0.12323943661971837,0.30836618484450296,0,True,False,-0.632769219213658,0.766682262691919
awgn,30,20260811,32,luma_sd,True,24,RQ2,229,157,0.3869565217391304,0.3869565217391304,0.02199591057860413,0.7697055857642469,0,True,False,-0.3127692192136581,1.086682262691919
awgn,30,20260811,32,edge_fraction,True,24,RQ2,230,158,-0.4034782608695653,-0.4034782608695653,-0.7611548556430446,-0.11744084136722177,0,True,False,-1.1032040018223537,0.2962474800832232
awgn,30,20260811,32,glcm_contrast,True,24,RQ2,231,159,-0.2860869565217391,-0.2860869565217391,-0.6021924109807041,-0.021834061135371334,0,True,False,-0.9858126974745276,0.4136387844310494
awgn,30,20260811,32,glcm_entropy,True,24,RQ2,232,160,-0.4608695652173913,-0.4608695652173913,-0.8683865325754263,-0.06318145441805838,0,True,False,-1.1605953061701797,0.2388561757353972
awgn,30,20260811,32,glcm_homogeneity,True,24,RQ2,233,161,0.7539130434782607,-0.7539130434782607,-1.0503304320488895,-0.41284929670044784,0,True,False,-1.4536387844310492,-0.054187302525472214
awgn,30,20260811,37,sobel_si,True,24,RQ2,234,162,-0.05217391304347829,-0.05217391304347829,-0.2409126688007483,0.13053000438020146,0,True,False,-0.7518996539962668,0.6475518279093102
awgn,30,20260811,37,luma_sd,True,24,RQ2,235,163,0.07043478260869568,0.07043478260869568,-0.24199912319158262,0.3665791776027998,0,True,False,-0.6292909583440929,0.7701605235614841
awgn,30,20260811,37,edge_fraction,True,24,RQ2,236,164,-0.24521739130434783,-0.24521739130434783,-0.565293602103418,-0.015748031496063075,0,True,False,-0.9449431322571363,0.45450834964844067
awgn,30,20260811,37,glcm_contrast,True,24,RQ2,237,165,-0.2008695652173914,-0.2008695652173914,-0.46160933100158225,-0.007005253940455364,0,True,False,-0.9005953061701799,0.4988561757353971
awgn,30,20260811,37,glcm_entropy,True,24,RQ2,238,166,-0.3991304347826087,-0.3991304347826087,-0.7851203501094093,-0.0446389496717725,0,True,False,-1.0988561757353972,0.3005953061701798
awgn,30,20260811,37,glcm_homogeneity,True,24,RQ2,239,167,0.5730434782608695,-0.5730434782608695,-0.9240174672489081,-0.23611718408395288,0,True,False,-1.2727692192136582,0.12668226269191896
clean,0,,22,luma_sd,True,24,RQ1,216,217,-0.4426086956521739,-0.4426086956521739,-0.8435873157370863,-0.024496937882764688,0,True,False,-0.9482910388267984,0.06307364752245054
clean,0,,22,edge_fraction,True,24,RQ1,216,218,0.23304347826086946,0.23304347826086946,0.03152295293680326,0.47660690861390465,0,True,False,-0.272638864913755,0.7387258214354939
clean,0,,22,glcm_contrast,True,24,RQ1,216,219,0.0808695652173913,0.0808695652173913,-0.006124234470691103,0.21024967148488838,0,True,False,-0.42481277795723316,0.5865519083920158
clean,0,,22,glcm_entropy,True,24,RQ1,216,220,0.11652173913043473,0.11652173913043473,-0.05957074025405168,0.3519111835583681,0,True,False,-0.38916060404418973,0.6222040823050592
clean,0,,22,glcm_homogeneity,True,24,RQ1,216,221,-1.2678260869565219,0.16000000000000003,-0.022948939461512705,0.38715635507882745,0,True,False,-0.34568234317462443,0.6656823431746245
clean,0,,27,luma_sd,True,24,RQ1,222,223,-0.47217391304347817,-0.47217391304347817,-0.8721597081450629,-0.040332303474074654,0,True,False,-0.9778562562181026,0.033508430131146294
clean,0,,27,edge_fraction,True,24,RQ1,222,224,0.2026086956521741,0.2026086956521741,0.011428320361536563,0.4369527145359018,0,True,False,-0.30307364752245036,0.7082910388267986
clean,0,,27,glcm_contrast,True,24,RQ1,222,225,0.06347826086956532,0.06347826086956532,-0.0298507462686567,0.18277219064276345,0,True,False,-0.44220408230505914,0.5691606040441898
clean,0,,27,glcm_entropy,True,24,RQ1,222,226,0.09043478260869575,0.09043478260869575,-0.09607196750740671,0.3150504607283896,0,True,False,-0.4152475605659287,0.5961171257833202
clean,0,,27,glcm_homogeneity,True,24,RQ1,222,227,-1.3704347826086956,0.13391304347826105,-0.04479578392621875,0.34828496042216345,0,True,False,-0.3717692996963634,0.6395953866528855
clean,0,,32,luma_sd,True,24,RQ1,228,229,-0.5191304347826087,-0.5191304347826087,-0.8969750109601051,-0.10747051114023598,0,True,False,-1.0248127779572331,-0.013448091607984214
clean,0,,32,edge_fraction,True,24,RQ1,228,230,0.15652173913043488,0.15652173913043488,-0.004403346543372932,0.36641956177769525,0,True,False,-0.3491606040441896,0.6622040823050593
clean,0,,32,glcm_contrast,True,24,RQ1,228,231,0.05478260869565221,0.05478260869565221,-0.03239929947460585,0.16331877729257638,0,True,False,-0.45089973447897225,0.5604649518702767
clean,0,,32,glcm_entropy,True,24,RQ1,228,232,0.03391304347826085,0.03391304347826085,-0.1434257530391191,0.21494430025815545,0,True,False,-0.4717692996963636,0.5395953866528853
clean,0,,32,glcm_homogeneity,True,24,RQ1,228,233,-1.514782608695652,0.09565217391304337,-0.05861767279090113,0.28146853146853135,0,True,False,-0.4100301692615811,0.6013345170876678
clean,0,,37,luma_sd,True,24,RQ1,234,235,-0.5669565217391304,-0.5669565217391304,-0.9241593940151583,-0.19493006993007012,0,True,False,-1.0726388649137548,-0.0612741785645059
clean,0,,37,edge_fraction,True,24,RQ1,234,236,0.11391304347826092,0.11391304347826092,-0.03594914511179304,0.30829694323144097,0,True,False,-0.39176929969636354,0.6195953866528854
clean,0,,37,glcm_contrast,True,24,RQ1,234,237,0.047826086956521796,0.047826086956521796,-0.035855615883607105,0.1502636203866432,0,True,False,-0.45785625621810266,0.5535084301311463
clean,0,,37,glcm_entropy,True,24,RQ1,234,238,-0.014782608695652177,-0.014782608695652177,-0.18404907975460116,0.1369021500658183,0,True,False,-0.5204649518702766,0.4908997344789723
clean,0,,37,glcm_homogeneity,True,24,RQ1,234,239,-1.6208695652173912,0.05565217391304356,-0.09644892590968868,0.22174199749663753,0,True,False,-0.4500301692615809,0.561334517087668
stripes,8,,22,sobel_si,True,24,RQ2,216,240,0.05217391304347818,0.05217391304347818,-0.007005253940455258,0.147856517935258,0,True,False,-0.6475518279093103,0.7518996539962667
stripes,8,,22,luma_sd,True,24,RQ2,217,241,0.018260869565217414,0.018260869565217414,-0.0724890829694323,0.11898773047242199,0,True,False,-0.6814648713875711,0.7179866105180059
