distortion,level,seed,qp,feature,primary,n_images,rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate
awgn,15,20260811,37,luma_sd,True,24,0.30260869565217396,-0.12358123068407197,0.6489688459850811,0,True,False
awgn,15,20260811,37,edge_fraction,True,24,0.8130434782608695,0.6022777047744198,0.9080962800875274,0,True,False
awgn,15,20260811,37,glcm_contrast,True,24,0.5930434782608694,0.20579138006422765,0.8360382633443774,0,True,False
awgn,15,20260811,37,glcm_entropy,True,24,0.797391304347826,0.5460122699386504,0.9141104294478529,0,True,False
awgn,15,20260811,37,glcm_homogeneity,True,24,0.6860869565217391,0.3901544321153408,0.8505897771952818,0,True,False
awgn,30,20260811,22,sobel_si,True,24,0.10347826086956521,-0.32255315341576796,0.5021910604732691,0,True,False
awgn,30,20260811,22,luma_sd,True,24,-0.29739130434782607,-0.7015317286652079,0.2102724892104324,0,True,False
awgn,30,20260811,22,edge_fraction,True,24,0.41999999999999993,-0.010103685865275177,0.7333916276200702,0,True,False
awgn,30,20260811,22,glcm_contrast,True,24,-0.1330434782608696,-0.5693009687362394,0.3561148884088777,0,True,False
awgn,30,20260811,22,glcm_entropy,True,24,0.22086956521739126,-0.26906557919151597,0.6428884026258206,0,True,False
awgn,30,20260811,22,glcm_homogeneity,True,24,0.12260869565217392,-0.35319894829097287,0.5751748251748252,0,True,False
awgn,30,20260811,27,sobel_si,True,24,0.4286956521739131,0.03225379945691597,0.7035087719298243,0,True,False
awgn,30,20260811,27,luma_sd,True,24,-0.009565217391304379,-0.470510035947494,0.47738450398039073,0,True,False
awgn,30,20260811,27,edge_fraction,True,24,0.6782608695652173,0.33887915936952717,0.8625218914185637,0,True,False
awgn,30,20260811,27,glcm_contrast,True,24,0.1756521739130435,-0.3100465574995712,0.6397042888540759,0,True,False
awgn,30,20260811,27,glcm_entropy,True,24,0.508695652173913,0.05326602681402857,0.7962440680220525,0,True,False
awgn,30,20260811,27,glcm_homogeneity,True,24,0.42173913043478256,-0.04378475574472249,0.7798165137614679,0,True,False
awgn,30,20260811,32,sobel_si,True,24,0.5339130434782609,0.19108001749016176,0.7505452328034805,0,True,False
awgn,30,20260811,32,luma_sd,True,24,-0.031304347826086945,-0.47879317883690414,0.45758539277316573,0,True,False
awgn,30,20260811,32,edge_fraction,True,24,0.7452173913043478,0.4524017467248908,0.9044278825076719,0,True,False
awgn,30,20260811,32,glcm_contrast,True,24,0.16956521739130437,-0.3125822007891276,0.63492794472409,0,True,False
awgn,30,20260811,32,glcm_entropy,True,24,0.5599999999999999,0.14160070360598065,0.8297526956112595,0,True,False
awgn,30,20260811,32,glcm_homogeneity,True,24,0.4834782608695652,0.030082166633872514,0.8241009286767915,0,True,False
awgn,30,20260811,37,sobel_si,True,24,0.7008695652173913,0.4241059741959612,0.847635726795096,0,True,False
awgn,30,20260811,37,luma_sd,True,24,0.12782608695652173,-0.2900394910048267,0.5227272727272727,0,True,False
awgn,30,20260811,37,edge_fraction,True,24,0.8791304347826085,0.7142857142857144,0.9397642950676559,0,True,False
awgn,30,20260811,37,glcm_contrast,True,24,0.31043478260869567,-0.10101010468263666,0.6627348186981215,0,True,False
awgn,30,20260811,37,glcm_entropy,True,24,0.7130434782608696,0.3842105263157894,0.8767062967855571,0,True,False
awgn,30,20260811,37,glcm_homogeneity,True,24,0.6617391304347826,0.3339167726055815,0.8593272171253823,0,True,False
stripes,8,,22,sobel_si,True,24,0.09565217391304343,-0.3266027253422651,0.4984655852696185,0,True,False
stripes,8,,22,luma_sd,True,24,-0.30695652173913046,-0.6159230096237971,0.07300023574030728,0,True,False
stripes,8,,22,edge_fraction,True,24,0.18869565217391304,-0.292415607189829,0.5963145763227643,0,True,False
stripes,8,,22,glcm_contrast,True,24,-0.09826086956521737,-0.5356362046348928,0.3678665496049166,0,True,False
stripes,8,,22,glcm_entropy,True,24,-0.2626086956521739,-0.6275197195442594,0.18761051974619466,0,True,False
stripes,8,,22,glcm_homogeneity,True,24,-0.07913043478260867,-0.5320848658378241,0.3756012243113248,0,True,False
stripes,8,,27,sobel_si,True,24,0.07391304347826091,-0.3453119189459528,0.4802128191882432,0,True,False
stripes,8,,27,luma_sd,True,24,-0.20608695652173908,-0.6295357795104737,0.2838970007541506,0,True,False
stripes,8,,27,edge_fraction,True,24,-0.07043478260869562,-0.49515461121507626,0.38913601265065856,0,True,False
stripes,8,,27,glcm_contrast,True,24,-0.3191304347826087,-0.6277457059778586,0.08765086154910036,0,True,False
stripes,8,,27,glcm_entropy,True,24,-0.20695652173913048,-0.6134674245736772,0.22902367456332226,0,True,False
stripes,8,,27,glcm_homogeneity,True,24,-0.2217391304347826,-0.6033202271734381,0.19156414762741653,0,True,False
stripes,8,,32,sobel_si,True,24,0.0930434782608696,-0.31272492883892783,0.47502191060473276,0,True,False
stripes,8,,32,luma_sd,True,24,-0.1269565217391304,-0.5646118391026407,0.35464098073555156,0,True,False
stripes,8,,32,edge_fraction,True,24,-0.12260869565217386,-0.542361784471264,0.33098653215263557,0,True,False
stripes,8,,32,glcm_contrast,True,24,-0.1834782608695652,-0.5480191095483952,0.23239697671418844,0,True,False
stripes,8,,32,glcm_entropy,True,24,-0.1965217391304348,-0.6040214193384363,0.2286121842851813,0,True,False
stripes,8,,32,glcm_homogeneity,True,24,-0.006086956521739129,-0.45121124891405834,0.4006999125109363,0,True,False
stripes,8,,37,sobel_si,True,24,0.17304347826086952,-0.24726477024070026,0.5528328659706667,0,True,False
stripes,8,,37,luma_sd,True,24,-0.41391304347826086,-0.7350903263403261,0.012714279915797187,0,True,False
stripes,8,,37,edge_fraction,True,24,-0.1652173913043478,-0.5824576146247971,0.32662877131613466,0,True,False
stripes,8,,37,glcm_contrast,True,24,-0.3913043478260869,-0.7263547015134882,0.05456132693147098,0,True,False
stripes,8,,37,glcm_entropy,True,24,-0.39826086956521733,-0.7130455964376705,0.008300930879285663,0,True,False
stripes,8,,37,glcm_homogeneity,True,24,-0.417391304347826,-0.726041193184547,0.007881256034050075,0,True,False
stripes,16,,22,sobel_si,True,24,0.11304347826086955,-0.3205347234480161,0.5344763181463391,0,True,False
stripes,16,,22,luma_sd,True,24,-0.3669565217391304,-0.6452599388379204,0.0008772700644405707,0,True,False
stripes,16,,22,edge_fraction,True,24,-0.2278260869565218,-0.5966681280140289,0.21230769230769225,0,True,False
stripes,16,,22,glcm_contrast,True,24,-0.32260869565217387,-0.6654991243432573,0.13237221494102228,0,True,False
stripes,16,,22,glcm_entropy,True,24,-0.3660869565217391,-0.6873340398621496,0.052172389999305686,0,True,False
stripes,16,,22,glcm_homogeneity,True,24,-0.408695652173913,-0.7101455620701033,0.0013129677925797648,0,True,False
stripes,16,,27,sobel_si,True,24,-0.04434782608695653,-0.4625820568927791,0.38542144337750994,0,True,False
stripes,16,,27,luma_sd,True,24,-0.08956521739130435,-0.45487203824118094,0.30065645514223194,0,True,False
stripes,16,,27,edge_fraction,True,24,-0.3817391304347826,-0.6745406824146982,0.011836913634370868,0,True,False
stripes,16,,27,glcm_contrast,True,24,-0.06260869565217389,-0.4846639185439244,0.3651928035506508,0,True,False
stripes,16,,27,glcm_entropy,True,24,-0.1,-0.5114245556820713,0.3047287400534921,0,True,False
stripes,16,,27,glcm_homogeneity,True,24,-0.08521739130434783,-0.5017545401288811,0.3199300699300699,0,True,False
stripes,16,,32,sobel_si,True,24,0.051304347826087005,-0.39016032486273133,0.5175131348511381,0,True,False
stripes,16,,32,luma_sd,True,24,-0.18782608695652173,-0.5502865007486712,0.23124505355162922,0,True,False
stripes,16,,32,edge_fraction,True,24,-0.4260869565217391,-0.7186976410934743,-0.006528089861735867,0,True,False
stripes,16,,32,glcm_contrast,True,24,-0.2860869565217391,-0.6628721541155865,0.1573964109793565,0,True,False
stripes,16,,32,glcm_entropy,True,24,-0.25652173913043474,-0.6244503078276165,0.18444055944055937,0,True,False
stripes,16,,32,glcm_homogeneity,True,24,-0.27652173913043476,-0.6421697287839021,0.16433566433566432,0,True,False
stripes,16,,37,sobel_si,True,24,0.20086956521739133,-0.27607737847525193,0.582931921742701,0,True,False
stripes,16,,37,luma_sd,True,24,-0.371304347826087,-0.7287839020122486,0.1037215548181104,0,True,False
stripes,16,,37,edge_fraction,True,24,-0.5234782608695652,-0.795280066379984,-0.10245012605608045,0,True,False
stripes,16,,37,glcm_contrast,True,24,-0.5034782608695652,-0.7517543859649121,-0.08961751666709983,0,True,False
stripes,16,,37,glcm_entropy,True,24,-0.4339130434782609,-0.7065265002190102,-0.017910970025546754,0,True,False
stripes,16,,37,glcm_homogeneity,True,24,-0.4765217391304348,-0.7723087700390675,-0.06042031523642728,0,True,False
stripes,32,,22,sobel_si,True,24,-0.26956521739130435,-0.6113785557986872,0.14847161572052398,0,True,False
stripes,32,,22,luma_sd,True,24,-0.30782608695652175,-0.5943933420937364,0.053046909250328775,0,True,False
stripes,32,,22,edge_fraction,True,24,-0.6426086956521738,-0.843695897276755,-0.3315857306827472,0,True,False
stripes,32,,22,glcm_contrast,True,24,-0.5469565217391303,-0.7763215377894277,-0.2134733158355206,0,True,False
stripes,32,,22,glcm_entropy,True,24,-0.24086956521739122,-0.6284603982973549,0.19807207755453515,0,True,False
stripes,32,,22,glcm_homogeneity,True,24,-0.4921739130434782,-0.7445319335083116,-0.14373088685015292,0,True,False
stripes,32,,27,sobel_si,True,24,-0.20173913043478262,-0.6036669221454258,0.23245662402587852,0,True,False
stripes,32,,27,luma_sd,True,24,-0.23565217391304347,-0.5957825361028564,0.1863531953748035,0,True,False
stripes,32,,27,edge_fraction,True,24,-0.6182608695652174,-0.7801231310466139,-0.33917616126205086,0,True,False
stripes,32,,27,glcm_contrast,True,24,-0.4182608695652173,-0.6803870956334017,-0.065150852645387,0,True,False
stripes,32,,27,glcm_entropy,True,24,-0.09826086956521735,-0.4847221075867362,0.3129383983541557,0,True,False
stripes,32,,27,glcm_homogeneity,True,24,-0.37217391304347824,-0.6440539806491007,-0.0209964576106308,0,True,False
stripes,32,,32,sobel_si,True,24,-0.1660869565217391,-0.5918394329966449,0.3085371642627848,0,True,False
stripes,32,,32,luma_sd,True,24,-0.1678260869565217,-0.5903930131004367,0.3190323969432793,0,True,False
stripes,32,,32,edge_fraction,True,24,-0.5165217391304348,-0.7939796238070626,-0.11715545862649848,0,True,False
stripes,32,,32,glcm_contrast,True,24,-0.41913043478260864,-0.7379491673970202,-0.007887472352730782,0,True,False
stripes,32,,32,glcm_entropy,True,24,-0.17739130434782602,-0.5684901531728666,0.24334129146732966,0,True,False
stripes,32,,32,glcm_homogeneity,True,24,-0.35826086956521735,-0.6842151289899429,0.0590809628008753,0,True,False
stripes,32,,37,sobel_si,True,24,-0.000869565217391309,-0.42781468613002516,0.43343667636837513,0,True,False
stripes,32,,37,luma_sd,True,24,-0.288695652173913,-0.6797900262467192,0.18622256780589225,0,True,False
stripes,32,,37,edge_fraction,True,24,-0.4756521739130435,-0.7545859565461998,-0.07948011221164333,0,True,False
stripes,32,,37,glcm_contrast,True,24,-0.3408695652173913,-0.6662358761636836,0.0727463982040994,0,True,False
stripes,32,,37,glcm_entropy,True,24,-0.14434782608695648,-0.5243122516676575,0.25152838427947594,0,True,False
stripes,32,,37,glcm_homogeneity,True,24,-0.28260869565217384,-0.6224324297947849,0.138353765323993,0,True,False
