distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,15,20260813,32,luma_sd,False,24,0.2617391304347826,0.2617391304347826,-0.18059171211807368,0.6410956934844609,0,True,False,nan,nan,24,24
awgn,15,20260813,32,edge_fraction,False,24,0.8434782608695651,0.8434782608695651,0.6134674245736773,0.9421306444541867,0,True,False,nan,nan,24,24
awgn,15,20260813,32,glcm_contrast,False,24,0.7843478260869565,0.7843478260869565,0.506108202443281,0.9169943206640455,0,True,False,nan,nan,24,24
awgn,15,20260813,32,glcm_entropy,False,24,0.5678260869565217,0.5678260869565217,0.16455640659627527,0.824205893350185,0,True,False,nan,nan,24,24
awgn,15,20260813,32,glcm_homogeneity,False,24,-0.7913043478260869,0.7913043478260869,-0.9217582417582417,-0.5133713283647523,0,True,False,nan,nan,24,24
awgn,15,20260813,37,sobel_si,False,24,0.7078260869565216,0.7078260869565216,0.4097070397901181,0.8758741258741257,0,True,False,nan,nan,24,24
awgn,15,20260813,37,luma_sd,False,24,0.11304347826086958,0.11304347826086958,-0.34155014605647466,0.5646456050836697,0,True,False,nan,nan,24,24
awgn,15,20260813,37,edge_fraction,False,24,0.9069565217391304,0.9069565217391304,0.7463926541320507,0.9579500657030225,0,True,False,nan,nan,24,24
awgn,15,20260813,37,glcm_contrast,False,24,0.8191304347826086,0.8191304347826086,0.5774746211066698,0.9289785181937744,0,True,False,nan,nan,24,24
awgn,15,20260813,37,glcm_entropy,False,24,0.5443478260869565,0.5443478260869565,0.14223194748358864,0.8041101880192392,0,True,False,nan,nan,24,24
awgn,15,20260813,37,glcm_homogeneity,False,24,-0.8252173913043477,0.8252173913043477,-0.9234845312998345,-0.5958005249343833,0,True,False,nan,nan,24,24
awgn,30,20260811,22,sobel_si,True,24,0.7288541159470536,0.7288541159470536,0.4109191298590462,0.8866071382328209,0,True,False,0.00012,0.01044,24,23
awgn,30,20260811,22,luma_sd,True,24,0.6979778377655257,0.6979778377655257,0.368006993006993,0.8878201606739293,0,True,False,0.00021,0.015960000000000002,24,23
awgn,30,20260811,22,edge_fraction,True,24,0.2804957665786692,0.2804957665786692,-0.20612790237194684,0.6888694127957932,0,True,False,0.18423,1.0,24,23
awgn,30,20260811,22,glcm_contrast,True,24,0.3087627818152792,0.3087627818152792,-0.17594090721239794,0.7118025059415658,0,True,False,0.14323,1.0,24,23
awgn,30,20260811,22,glcm_entropy,True,24,0.1622091797423932,0.1622091797423932,-0.29873426300347405,0.6130672072424473,0,True,False,0.44508,1.0,24,23
awgn,30,20260811,22,glcm_homogeneity,True,24,0.11915634115124868,-0.11915634115124868,-0.3076586433260394,0.5213412531264203,0,True,False,0.57627,1.0,24,23
awgn,30,20260811,27,sobel_si,True,24,0.7478260869565218,0.7478260869565218,0.4210756449497158,0.914073299319794,0,True,False,5e-05,0.005350000000000001,24,24
awgn,30,20260811,27,luma_sd,True,24,0.5339130434782609,0.5339130434782609,0.14059173258778723,0.7716535433070868,0,True,False,0.00754,0.30913999999999997,24,24
